# time : days since 2000-01-01
# height : 1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
# lat : -26.25,-26.25,-26.51076889038086,-26.25,-26.619718551635742,-25.578947067260742,-27.046239852905273,-27.046239852905273,-25.578947067260742
# lon : 28.125,28.125,28.125,28.0,27.5,26.25,28.125,28.125,27.5
# tas : K
# dimensions : 
# - model: 9
# - time: 1163
time,0,1,2,3,4,5,6,7,8
2207.5,19.41714,19.528135,19.617105,20.354643,18.089369,16.95331,17.908876,18.0954,20.21952
2237.0,18.650274,16.922316,17.515621,21.345963,18.705769,17.345604,16.863914,17.414005,19.69404
2266.5,15.772369,15.429998,17.125101,18.001974,15.297947,16.517937,15.181513,16.449276,18.054188
2297.0,14.391345,12.26858,14.708966,12.545349,11.074773,12.88127,12.915783,14.010221,15.101293
2327.5,9.529337,9.33177,11.8377495,11.215414,9.521046,9.753504,10.334102,11.26408,11.898454
2358.0,7.7541294,6.8859806,5.272256,8.786503,7.0055084,7.8601036,7.487871,8.720753,9.216104
2388.5,7.4412575,9.184129,7.927334,7.705603,8.225892,8.260104,6.87749,7.079341,7.024397
2419.5,11.175607,11.664791,11.082358,12.627908,11.062603,10.850231,12.068794,9.715741,10.918464
2450.0,14.27747,14.508471,15.102045,16.46251,16.808931,13.757786,14.860635,14.739187,14.928177
2480.5,15.071716,16.499647,17.520435,17.981606,17.21053,18.97361,16.212046,16.262392,16.010313
2511.0,14.671188,18.358889,17.980392,16.586447,17.141764,17.015285,14.507793,17.320993,17.268297
2541.5,16.88061,18.234758,19.86271,17.284218,16.422121,17.391226,16.711885,19.470514,17.155857
2572.5,17.892939,17.705534,21.170145,19.204588,17.202192,17.763277,17.175753,18.786348,18.22831
2602.0,18.277655,16.724989,19.620388,20.808823,16.336018,17.310417,17.435448,18.602665,19.46174
2631.5,16.080933,15.434271,17.384623,18.093832,14.71793,16.482994,15.119837,17.061031,16.49187
2662.0,14.441302,11.809779,13.111371,13.221558,11.951177,13.094161,13.288403,13.881192,13.698461
2692.5,10.785837,9.759901,11.156475,9.844564,9.728535,11.627344,9.300654,9.012615,10.324143
2723.0,8.836008,9.426203,9.793527,7.955021,8.645187,7.315731,8.4302845,6.69405,7.9724817
2753.5,7.4446144,8.939988,8.724911,6.0662293,8.70984,7.102481,7.5931883,8.234401,9.01869
2784.5,10.224191,13.298519,10.363822,11.592111,10.576397,12.143383,10.893013,12.049603,10.777015
2815.0,15.296543,16.928576,15.399744,13.350234,15.012667,16.898533,13.476846,15.943686,13.428848
2845.5,15.054382,16.446516,18.556934,15.718697,14.291279,16.00962,17.081522,17.703432,15.58383
2876.0,15.470627,17.517885,16.200577,19.792074,16.015512,18.531307,16.646648,17.152964,16.828234
2906.5,16.579584,16.605211,17.260294,18.435005,17.503725,17.417654,17.229494,17.755121,19.174534
2937.5,18.178827,17.4364,18.053293,18.384764,16.870405,19.128084,17.696383,18.730806,19.656136
2967.0,,,17.305416,18.014542,16.376392,18.010368,,,19.724771
2967.5,18.012121,18.004347,,,,,17.280785,18.147099,
2997.5,16.507446,15.687475,17.262308,17.159323,14.623966,16.150047,15.283686,15.887875,16.913258
3028.0,13.365069,12.02032,12.418317,16.273468,14.183568,12.59938,13.430645,12.416593,14.191655
3058.5,11.00651,9.623793,11.457745,10.358725,10.337055,11.228449,10.52563,10.0061455,11.232224
3089.0,7.5635777,7.558008,6.1215906,8.381168,7.675827,8.981747,8.911852,7.3630867,8.98948
3119.5,6.41074,5.095872,7.6546288,9.136419,8.019471,8.295871,6.1217833,6.497279,8.103773
3150.5,9.8462,8.393124,8.334067,12.200295,9.9628105,11.385326,9.530037,10.67265,11.260383
3181.0,14.77277,11.102739,14.126581,14.722823,13.100893,15.426334,13.752023,15.3142605,14.57753
3211.5,15.948151,12.380384,16.017658,19.456642,15.681995,16.407936,14.786966,16.442934,17.889982
