# time : days since 2000-01-01
# lat : -26.2
# realization : 0
# lon : 28.0
# temperature_2m : deg. C
time,temperature_2m
0.0,18.245453
31.0,18.836334
60.0,18.434052
91.0,14.330109
121.0,10.431915
152.0,9.823334
182.0,8.211578
213.0,12.434601
244.0,15.009979
274.0,17.92923
305.0,17.290558
335.0,19.260468
366.0,20.259186
397.0,18.935577
425.0,18.503815
456.0,15.841522
486.0,12.286591
517.0,9.961731
547.0,8.48288
578.0,13.281097
609.0,15.035492
639.0,17.818634
670.0,17.91159
700.0,19.027863
731.0,20.219757
762.0,19.13028
790.0,18.782806
821.0,16.957245
851.0,12.40213
882.0,8.866608
912.0,9.029205
943.0,13.844025
974.0,15.8815
1004.0,18.653473
1035.0,19.079376
1065.0,19.401154
1096.0,20.742645
1127.0,20.665497
1155.0,19.263336
1186.0,18.069366
1216.0,12.88028
1247.0,9.577301
1277.0,9.669098
1308.0,11.447723
1339.0,16.918
1369.0,19.533295
1400.0,19.6846
1430.0,21.9805
1461.0,20.380646
1492.0,19.319489
1521.0,17.680023
1552.0,15.622894
1582.0,12.758087
1613.0,8.841888
1643.0,8.17569
1674.0,13.801849
1705.0,14.820404
1735.0,18.61673
1766.0,20.895966
1796.0,19.723114
1827.0,20.275177
1858.0,20.301544
1886.0,17.957367
1917.0,15.118317
1947.0,13.238922
1978.0,11.811249
2008.0,10.578583
2039.0,14.245087
2070.0,18.621979
2100.0,19.749847
2131.0,19.612335
2161.0,19.702484
2192.0,19.783478
2223.0,19.380463
2251.0,16.879059
2282.0,14.989044
2312.0,9.857819
2343.0,8.988678
2373.0,11.128693
2404.0,10.691864
2435.0,15.57254
2465.0,19.192657
2496.0,18.789764
2526.0,20.764679
2557.0,20.88742
2588.0,21.625092
2616.0,20.009308
2647.0,16.62912
2677.0,12.563629
2708.0,9.54776
2738.0,9.361359
2769.0,12.518707
2800.0,18.931366
2830.0,16.455536
2861.0,18.812897
2891.0,19.252167
2922.0,19.26596
2953.0,19.706696
2982.0,17.205719
3013.0,14.275116
3043.0,12.529633
3074.0,9.899994
3104.0,9.540131
3135.0,13.736969
3166.0,16.33847
3196.0,19.767914
3227.0,19.566193
3257.0,20.772919
3288.0,20.502106
3319.0,19.220306
3347.0,17.834991
3378.0,15.712677
3408.0,12.396515
3439.0,10.482513
3469.0,8.144379
3500.0,12.056549
3531.0,17.959686
3561.0,18.673248
3592.0,18.224518
3622.0,20.751678
3653.0,19.832062
3684.0,20.3414
3712.0,19.254425
3743.0,16.064972
3773.0,13.36911
3804.0,9.224396
3834.0,10.080536
3865.0,12.71756
3896.0,17.904816
3926.0,19.76474
3957.0,19.557526
3987.0,19.8685
4018.0,19.626495
4049.0,19.315033
4077.0,19.569122
4108.0,14.938568
4138.0,12.356415
4169.0,8.912994
4199.0,8.010345
4230.0,11.779633
4261.0,17.25296
4291.0,18.962189
4322.0,20.198517
4352.0,20.039764
4383.0,20.63504
4414.0,20.76767
4443.0,18.619415
4474.0,15.273712
4504.0,14.015533
4535.0,9.697296
4565.0,10.8089905
4596.0,13.441803
4627.0,15.173004
4657.0,18.039703
4688.0,19.23465
4718.0,19.421783
4749.0,20.952667
4780.0,21.063263
4808.0,19.074677
4839.0,15.63736
4869.0,13.090607
4900.0,10.750519
4930.0,10.988007
4961.0,12.068695
4992.0,17.562653
5022.0,18.386993
5053.0,20.4805
5083.0,19.39035
5114.0,21.533844
5145.0,20.662933
5173.0,18.152802
5204.0,14.847931
5234.0,13.549652
5265.0,10.370331
5295.0,9.216461
5326.0,12.670258
5357.0,17.769135
5387.0,18.554535
5418.0,18.020721
5448.0,20.026215
5479.0,20.642853
5510.0,21.253754
5538.0,19.297638
5569.0,16.482574
5599.0,15.572052
5630.0,10.050629
5660.0,11.211151
5691.0,15.56015
5722.0,17.65158
5752.0,21.417023
5783.0,20.912445
5813.0,23.498932
5844.0,21.75821
5875.0,21.898956
5904.0,19.83133
5935.0,17.882355
5965.0,13.205841
5996.0,11.358582
6026.0,10.07724
6057.0,13.9531555
6088.0,18.062347
6118.0,20.310272
6149.0,20.18991
6179.0,21.05777
6210.0,20.20987
6241.0,19.740814
6269.0,19.08432
6300.0,16.359467
6330.0,13.049896
6361.0,11.579895
6391.0,11.837433
6422.0,13.030487
6453.0,18.188873
6483.0,17.441803
6514.0,19.569977
6544.0,20.190521
6575.0,21.524567
6606.0,20.042389
6634.0,19.239105
6665.0,16.736603
6695.0,13.273773
6726.0,10.914825
6756.0,9.980743
6787.0,14.876923
6818.0,17.998749
6848.0,18.817596
6879.0,20.461395
6909.0,22.376678
6940.0,21.13504
6971.0,20.25467
6999.0,20.75998
7030.0,16.25589
7060.0,14.667633
7091.0,11.180206
7121.0,11.277985
7152.0,15.916107
7183.0,17.433197
7213.0,21.193573
7244.0,21.22641
7274.0,19.970673
